alamat,rata_rata_umur,total_kontak,total_dirujuk,laki-laki,perempuan,kontak_serumah,batuk,sesak_nafas,keringat_malam,demam_meriang,diabetes_mellitus,lansia,ibu_hamil,perokok,berobat_tidak_tuntas,jumlah_fasyankes_unik,latitude,longitude
"Bajeng Barat, Kabupaten Gowa",34.39376718606783,5455.0,678.0,2664.0,2791.0,1056.0,661.0,308.0,21.0,3.0,7.0,624.0,0.0,117.0,1.0,1.0,-5.2902067,119.390549
"Bajeng, Kabupaten Gowa",33.42479508196721,9760.0,1154.0,4697.0,5063.0,1792.0,1155.0,491.0,49.0,14.0,24.0,938.0,8.0,573.0,2.0,2.0,-5.292824700000001,119.4374637
"Biringbulu, Kabupaten Gowa",39.5,32.0,12.0,14.0,18.0,7.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,1.0,-5.482483999999999,119.7364196
"Biringkanaya, Kota Makassar",31.61498289213038,5553.0,139.0,2747.0,2806.0,1388.0,152.0,27.0,4.0,25.0,6.0,362.0,7.0,336.0,1.0,6.0,-5.113451700000001,119.5137952
"Bontoala, Kota Makassar",34.5742766407904,5668.0,44.0,2772.0,2896.0,1187.0,47.0,9.0,7.0,14.0,6.0,520.0,1.0,621.0,2.0,2.0,-5.130839,119.4208345
"Bontomarannu, Kabupaten Gowa",32.72982708933718,1388.0,204.0,658.0,730.0,296.0,205.0,12.0,4.0,3.0,0.0,117.0,0.0,26.0,0.0,1.0,-5.2324906,119.5096652
"Bontonompo Selatan, Kabupaten Gowa",33.25265776973536,4421.0,350.0,2112.0,2309.0,741.0,347.0,61.0,29.0,22.0,27.0,486.0,19.0,526.0,6.0,1.0,-5.398394700000001,119.3890994
"Bontonompo, Kabupaten Gowa",36.250558347292014,7164.0,1179.0,3335.0,3829.0,1484.0,1177.0,808.0,80.0,65.0,38.0,962.0,5.0,354.0,6.0,1.0,-5.3455219,119.4454793
"Makassar, Kota Makassar",32.86341175206789,18618.0,689.0,9257.0,9361.0,3570.0,739.0,89.0,275.0,445.0,22.0,1298.0,2.0,1002.0,7.0,4.0,-5.1615828,119.4359281
"Mamajang, Kota Makassar",36.74144538735286,7306.0,495.0,3441.0,3865.0,818.0,504.0,107.0,88.0,99.0,8.0,879.0,1.0,995.0,1.0,6.0,-5.164346099999999,119.4193834
"Manggala, Kota Makassar",33.05888776881721,11904.0,552.0,5679.0,6225.0,2981.0,603.0,79.0,108.0,118.0,23.0,905.0,15.0,371.0,4.0,6.0,-5.1670953,119.4791098
"Manuju, Kabupaten Gowa",34.10610328638498,1065.0,14.0,479.0,586.0,100.0,23.0,17.0,1.0,9.0,5.0,105.0,0.0,280.0,0.0,1.0,-5.2858206,119.6126125
"Mariso, Kota Makassar",28.0,687.0,47.0,337.0,350.0,268.0,25.0,8.0,4.0,4.0,2.0,23.0,0.0,62.0,1.0,3.0,-5.1590928,119.4092257
"Pallangga, Kabupaten Gowa",32.90324121052946,16753.0,1548.0,8189.0,8564.0,3476.0,1539.0,586.0,245.0,390.0,439.0,1536.0,50.0,2090.0,9.0,2.0,-5.2635169,119.4863316
"Panakkukang, Kota Makassar",32.86540232001473,5431.0,204.0,2578.0,2853.0,1172.0,251.0,133.0,66.0,72.0,25.0,419.0,9.0,730.0,4.0,10.0,-5.1608223,119.449434
"Parangloe, Kabupaten Gowa",31.811965811965813,117.0,11.0,58.0,59.0,41.0,11.0,0.0,0.0,0.0,0.0,8.0,0.0,12.0,0.0,1.0,-5.2441692,119.6509478
"Parigi, Kabupaten Gowa",39.40677966101695,767.0,55.0,362.0,405.0,145.0,54.0,7.0,0.0,0.0,1.0,134.0,2.0,15.0,0.0,1.0,-5.3059908,119.8064051
"Rappocini, Kota Makassar",33.79308063143964,10579.0,183.0,5018.0,5561.0,1290.0,244.0,53.0,15.0,17.0,24.0,934.0,0.0,1223.0,5.0,6.0,-5.1716212,119.4457009
"Somba Opu, Kabupaten Gowa",31.771836244832645,7499.0,469.0,3699.0,3800.0,1664.0,494.0,62.0,93.0,166.0,31.0,577.0,7.0,1912.0,15.0,2.0,-5.2092149,119.455063
"Tallo, Kota Makassar",34.515643732838306,25857.0,1281.0,12722.0,13135.0,4145.0,1468.0,343.0,453.0,429.0,138.0,1406.0,116.0,4500.0,31.0,4.0,-5.1250455,119.4295039
"Tamalanrea, Kota Makassar",31.603846153846153,520.0,55.0,250.0,270.0,198.0,59.0,16.0,3.0,6.0,0.0,41.0,0.0,30.0,0.0,6.0,-5.1317461,119.4982452
"Tamalate, Kota Makassar",33.38109756097561,16400.0,1393.0,7944.0,8456.0,2894.0,1509.0,340.0,147.0,238.0,133.0,1594.0,43.0,1980.0,12.0,9.0,-5.1851712,119.4236581
"Ujung Pandang, Kota Makassar",33.50666666666667,225.0,14.0,103.0,122.0,108.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,9.0,0.0,2.0,-5.1615828,119.4359281
"Ujung Tanah, Kota Makassar",31.862595419847327,131.0,0.0,69.0,62.0,81.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,2.0,-5.0490848,119.3278254
"Wajo, Kota Makassar",32.76694772344013,2965.0,14.0,1373.0,1592.0,390.0,54.0,7.0,0.0,3.0,9.0,190.0,12.0,334.0,0.0,4.0,-5.1255864,119.4106768
