kecamatan_full,Kecamatan,Wilayah,latitude,longitude,total_kontak,dirujuk_pct,dirujuk,rata_rata_umur,jumlah_fasyankes_unik,Cluster_S1,Cluster_S2,Cluster_S3,Cluster_S4,Cluster_S5,Cluster_S6,kontak_serumah_pct,batuk_pct,sesak_nafas_pct,keringat_malam_pct,demam_meriang_pct,ibu_hamil_pct,lansia_pct,diabetes_mellitus_pct,perokok_pct,berobat_tidak_tuntas_pct,laki-laki_pct,perempuan_pct
"Bajeng Barat, Kabupaten Gowa",Bajeng Barat,Kabupaten Gowa,-5.2902067,119.390549,5455.0,12.428964253,678,34.3937671861,1.0,2,4,3,7,3,5,19.3583868011,12.1173235564,5.6461961503,0.3849679193,0.054995417,0.0,11.4390467461,0.1283226398,2.1448212649,0.0183318057,48.8359303391,51.1640696609
"Bajeng, Kabupaten Gowa",Bajeng,Kabupaten Gowa,-5.2928247,119.4374637,9760.0,11.8237704918,1154,33.424795082,2.0,2,4,3,6,3,5,18.3606557377,11.8340163934,5.0307377049,0.5020491803,0.143442623,0.0819672131,9.6106557377,0.2459016393,5.8709016393,0.0204918033,48.125,51.875
"Biringbulu, Kabupaten Gowa",Biringbulu,Kabupaten Gowa,-5.482484,119.7364196,32.0,37.5,12,39.5,1.0,0,2,2,1,2,3,21.875,37.5,0.0,0.0,0.0,0.0,6.25,0.0,28.125,0.0,43.75,56.25
"Biringkanaya, Kota Makassar",Biringkanaya,Kota Makassar,-5.1134517,119.5137952,5553.0,2.5031514497,139,31.6149828921,6.0,2,3,3,4,0,0,24.995497929,2.7372591392,0.4862236629,0.0720331352,0.4502070953,0.1260579867,6.5189987394,0.1080497029,6.0507833603,0.0180082838,49.4687556276,50.5312443724
"Bontoala, Kota Makassar",Bontoala,Kota Makassar,-5.130839,119.4208345,5668.0,0.7762879323,44,34.5742766408,2.0,2,3,3,7,3,2,20.9421312632,0.8292166549,0.158786168,0.1235003529,0.2470007057,0.0176429076,9.1743119266,0.1058574453,10.9562455893,0.0352858151,48.9061397318,51.0938602682
"Bontomarannu, Kabupaten Gowa",Bontomarannu,Kabupaten Gowa,-5.2324906,119.5096652,1388.0,14.6974063401,204,32.7298270893,1.0,2,3,3,6,3,5,21.325648415,14.7694524496,0.8645533141,0.288184438,0.2161383285,0.0,8.4293948127,0.0,1.8731988473,0.0,47.4063400576,52.5936599424
"Bontonompo Selatan, Kabupaten Gowa",Bontonompo Selatan,Kabupaten Gowa,-5.3983947,119.3890994,4421.0,7.9167609138,350,33.2526577697,1.0,2,3,1,6,3,5,16.7609138204,7.8489029631,1.3797783307,0.65596019,0.4976249717,0.429767021,10.9929880118,0.6107215562,11.8977606876,0.1357159014,47.7719972857,52.2280027143
"Bontonompo, Kabupaten Gowa",Bontonompo,Kabupaten Gowa,-5.3455219,119.4454793,7164.0,16.4572864322,1179,36.2505583473,1.0,0,0,3,2,3,5,20.7146845338,16.4293690676,11.2786152987,1.116694584,0.9073143495,0.0697934115,13.428252373,0.5304299274,4.9413735343,0.0837520938,46.5522054718,53.4477945282
"Makassar, Kota Makassar",Makassar,Kota Makassar,-5.1615828,119.4359281,18618.0,3.7007197336,689,32.8634117521,4.0,1,1,3,4,1,2,19.1749919433,3.9692770437,0.478032012,1.4770652057,2.3901600602,0.0107422924,6.971747771,0.1181652165,5.381888495,0.0375980234,49.7207003975,50.2792996025
"Mamajang, Kota Makassar",Mamajang,Kota Makassar,-5.1643461,119.4193834,7306.0,6.7752532165,495,36.7414453874,6.0,0,1,3,2,0,0,11.1962770326,6.8984396387,1.4645496852,1.2044894607,1.3550506433,0.0136873802,12.0312072269,0.1094990419,13.6189433342,0.0136873802,47.0982753901,52.9017246099
"Manggala, Kota Makassar",Manggala,Kota Makassar,-5.1670953,119.4791098,11904.0,4.6370967742,552,33.0588877688,6.0,1,1,3,6,0,0,25.0420026882,5.0655241935,0.6636424731,0.9072580645,0.9912634409,0.1260080645,7.6024865591,0.1932123656,3.1165994624,0.0336021505,47.7066532258,52.2933467742
"Manuju, Kabupaten Gowa",Manuju,Kabupaten Gowa,-5.2858206,119.6126125,1065.0,1.3145539906,14,34.1061032864,1.0,2,3,2,0,3,4,9.3896713615,2.1596244131,1.5962441315,0.0938967136,0.8450704225,0.0,9.8591549296,0.4694835681,26.2910798122,0.0,44.9765258216,55.0234741784
"Mariso, Kota Makassar",Mariso,Kota Makassar,-5.1590928,119.4092257,687.0,6.8413391557,47,28.0,3.0,3,3,1,5,3,2,39.0101892285,3.6390101892,1.1644832606,0.5822416303,0.5822416303,0.0,3.3478893741,0.2911208151,9.0247452693,0.1455604076,49.0538573508,50.9461426492
"Pallangga, Kabupaten Gowa",Pallangga,Kabupaten Gowa,-5.2635169,119.4863316,16753.0,9.240136095,1548,32.9032412105,2.0,1,1,0,7,1,5,20.7485226527,9.1864143735,3.4978809765,1.4624246404,2.3279412643,0.2984540082,9.1685071331,2.6204261923,12.4753775443,0.0537217215,48.8807974691,51.1192025309
"Panakkukang, Kota Makassar",Panakkukang,Kota Makassar,-5.1608223,119.449434,5431.0,3.7562143252,204,32.86540232,10.0,2,1,1,6,0,1,21.5798195544,4.6216166452,2.4489044375,1.2152458111,1.325722703,0.1657153379,7.7149696189,0.460320383,13.4413551832,0.0736512613,47.4682378936,52.5317621064
"Parangloe, Kabupaten Gowa",Parangloe,Kabupaten Gowa,-5.2441692,119.6509478,117.0,9.4017094017,11,31.811965812,1.0,3,3,3,4,3,4,35.0427350427,9.4017094017,0.0,0.0,0.0,0.0,6.8376068376,0.0,10.2564102564,0.0,49.5726495726,50.4273504274
"Parigi, Kabupaten Gowa",Parigi,Kabupaten Gowa,-5.3059908,119.8064051,767.0,7.1707953064,55,39.406779661,1.0,0,3,3,2,3,3,18.9048239896,7.0404172099,0.9126466754,0.0,0.0,0.260756193,17.4706649283,0.1303780965,1.9556714472,0.0,47.1968709257,52.8031290743
"Rappocini, Kota Makassar",Rappocini,Kota Makassar,-5.1716212,119.4457009,10579.0,1.7298421401,183,33.7930806314,6.0,2,3,3,6,0,0,12.1939691842,2.3064561868,0.5009925324,0.1417903394,0.1606957179,0.0,8.828811797,0.226864543,11.5606390018,0.0472634465,47.4335948577,52.5664051423
"Somba Opu, Kabupaten Gowa",Somba Opu,Kabupaten Gowa,-5.2092149,119.455063,7499.0,6.2541672223,469,31.7718362448,2.0,2,1,1,4,3,2,22.1896252834,6.587545006,0.8267769036,1.2401653554,2.2136284838,0.0933457794,7.6943592479,0.4133884518,25.4967328977,0.2000266702,49.3265768769,50.6734231231
"Tallo, Kota Makassar",Tallo,Kota Makassar,-5.1250455,119.4295039,25857.0,4.9541710175,1281,34.5156437328,4.0,1,1,1,7,1,2,16.0304753065,5.677379433,1.3265266659,1.7519433809,1.6591251885,0.4486212631,5.4375991028,0.5337046061,17.4034110686,0.1198901651,49.2013768032,50.7986231968
"Tamalanrea, Kota Makassar",Tamalanrea,Kota Makassar,-5.1317461,119.4982452,520.0,10.5769230769,55,31.6038461538,6.0,3,1,3,6,3,0,38.0769230769,11.3461538462,3.0769230769,0.5769230769,1.1538461538,0.0,7.8846153846,0.0,5.7692307692,0.0,48.0769230769,51.9230769231
"Tamalate, Kota Makassar",Tamalate,Kota Makassar,-5.1851712,119.4236581,16400.0,8.493902439,1393,33.381097561,9.0,1,1,1,7,0,1,17.6463414634,9.2012195122,2.0731707317,0.8963414634,1.4512195122,0.262195122,9.7195121951,0.8109756098,12.0731707317,0.0731707317,48.4390243902,51.5609756098
"Ujung Pandang, Kota Makassar",Ujung Pandang,Kota Makassar,-5.1615828,119.4359281,225.0,6.2222222222,14,33.5066666667,2.0,3,3,3,0,3,2,48.0,0.0,0.0,0.0,0.0,0.0,9.3333333333,0.0,4.0,0.0,45.7777777778,54.2222222222
"Ujung Tanah, Kota Makassar",Ujung Tanah,Kota Makassar,-5.0490848,119.3278254,131.0,0.0,0,31.8625954198,2.0,3,3,3,3,3,2,61.8320610687,0.7633587786,0.0,0.0,0.0,0.0,3.8167938931,0.0,5.3435114504,0.0,52.6717557252,47.3282442748
"Wajo, Kota Makassar",Wajo,Kota Makassar,-5.1255864,119.4106768,2965.0,0.4721753794,14,32.7669477234,4.0,2,3,3,0,3,2,13.1534569983,1.8212478921,0.2360876897,0.0,0.1011804384,0.4047217538,6.4080944351,0.3035413153,11.2647554806,0.0,46.3069139966,53.6930860034
